price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_renovated,lat,long,sqft_living15
221900.0,3.0,1.0,1180.0,1.0,0.0,0.0,3.0,7.0,1180.0,0.0,0.0,47.5112,-122.257,1340.0
538000.0,3.0,2.0,2570.0,2.0,0.0,0.0,3.0,7.0,2170.0,400.0,1991.0,47.721000000000004,-122.319,1690.0
180000.0,2.0,1.0,770.0,1.0,0.0,0.0,3.0,6.0,770.0,0.0,0.0,47.7379,-122.23299999999999,2720.0
604000.0,4.0,3.0,1960.0,1.0,0.0,0.0,5.0,7.0,1050.0,910.0,0.0,47.5208,-122.39299999999999,1360.0
510000.0,3.0,2.0,1680.0,1.0,0.0,0.0,3.0,8.0,1680.0,0.0,0.0,47.6168,-122.045,1800.0
257500.0,3.0,2.0,1715.0,2.0,0.0,0.0,3.0,7.0,1715.0,0.0,0.0,47.3097,-122.32700000000001,2238.0
291850.0,3.0,2.0,1060.0,1.0,0.0,0.0,3.0,7.0,1060.0,0.0,0.0,47.4095,-122.315,1650.0
229500.0,3.0,1.0,1780.0,1.0,0.0,0.0,3.0,7.0,1050.0,730.0,0.0,47.5123,-122.337,1780.0
323000.0,3.0,2.0,1890.0,2.0,0.0,0.0,3.0,7.0,1890.0,0.0,0.0,47.3684,-122.031,2390.0
468000.0,2.0,1.0,1160.0,1.0,0.0,0.0,4.0,7.0,860.0,300.0,0.0,47.69,-122.292,1330.0
530000.0,5.0,2.0,1810.0,2.0,0.0,0.0,3.0,7.0,1810.0,0.0,0.0,47.67,-122.39399999999999,1360.0
650000.0,4.0,3.0,2950.0,2.0,0.0,3.0,3.0,9.0,1980.0,970.0,0.0,47.5714,-122.375,2140.0
485000.0,4.0,1.0,1600.0,2.0,0.0,0.0,4.0,7.0,1600.0,0.0,0.0,47.6648,-122.34299999999999,1610.0
189000.0,2.0,1.0,1200.0,1.0,0.0,0.0,4.0,7.0,1200.0,0.0,0.0,47.3089,-122.21,1060.0
230000.0,3.0,1.0,1250.0,1.0,0.0,0.0,4.0,7.0,1250.0,0.0,0.0,47.3343,-122.306,1280.0
385000.0,4.0,2.0,1620.0,1.0,0.0,0.0,4.0,7.0,860.0,760.0,0.0,47.7025,-122.34100000000001,1400.0
285000.0,5.0,2.0,2270.0,2.0,0.0,0.0,3.0,8.0,2270.0,0.0,0.0,47.3266,-122.169,2240.0
252700.0,2.0,2.0,1070.0,1.0,0.0,0.0,3.0,7.0,1070.0,0.0,0.0,47.3533,-122.166,1220.0
329000.0,3.0,2.0,2450.0,2.0,0.0,0.0,4.0,8.0,2450.0,0.0,0.0,47.3739,-122.17200000000001,2200.0
233000.0,3.0,2.0,1710.0,2.0,0.0,0.0,5.0,6.0,1710.0,0.0,0.0,47.3048,-122.21799999999999,1030.0
937000.0,3.0,2.0,2450.0,2.0,0.0,0.0,3.0,8.0,1750.0,700.0,0.0,47.6386,-122.36,1760.0
667000.0,3.0,1.0,1400.0,2.0,0.0,0.0,5.0,8.0,1400.0,0.0,0.0,47.6221,-122.314,1860.0
438000.0,3.0,2.0,1520.0,1.0,0.0,0.0,3.0,7.0,790.0,730.0,0.0,47.695,-122.304,1520.0
719000.0,4.0,2.0,2570.0,2.0,0.0,0.0,3.0,8.0,2570.0,0.0,0.0,47.7073,-122.11,2630.0
580500.0,3.0,2.0,2320.0,2.0,0.0,0.0,3.0,8.0,2320.0,0.0,0.0,47.5391,-122.07,2580.0
280000.0,2.0,2.0,1190.0,3.0,0.0,0.0,3.0,7.0,1190.0,0.0,0.0,47.7274,-122.35700000000001,1390.0
687500.0,4.0,2.0,2330.0,2.0,0.0,0.0,4.0,7.0,1510.0,820.0,0.0,47.6823,-122.368,1460.0
535000.0,3.0,1.0,1090.0,2.0,0.0,0.0,4.0,8.0,1090.0,0.0,0.0,47.6889,-122.375,1570.0
322500.0,4.0,3.0,2060.0,1.0,0.0,0.0,3.0,7.0,1280.0,780.0,0.0,47.4276,-122.15700000000001,2020.0
696000.0,3.0,2.0,2300.0,2.0,0.0,0.0,3.0,8.0,1510.0,790.0,2002.0,47.6827,-122.31,1590.0
640000.0,4.0,2.0,2360.0,2.0,0.0,0.0,4.0,8.0,2360.0,0.0,0.0,47.6702,-122.36200000000001,1730.0
240000.0,4.0,1.0,1220.0,1.0,0.0,0.0,2.0,7.0,890.0,330.0,0.0,47.3341,-122.28200000000001,1290.0
625000.0,4.0,2.0,2570.0,2.0,0.0,0.0,3.0,9.0,2570.0,0.0,0.0,47.6145,-122.027,2470.0
861990.0,5.0,3.0,3595.0,2.0,0.0,0.0,3.0,9.0,3595.0,0.0,0.0,47.6848,-122.016,3625.0
685000.0,3.0,1.0,1570.0,2.0,0.0,0.0,3.0,7.0,1570.0,0.0,0.0,47.6413,-122.36399999999999,1580.0
309000.0,3.0,1.0,1280.0,1.0,0.0,0.0,4.0,6.0,920.0,360.0,0.0,47.4485,-122.175,1340.0
488000.0,3.0,2.0,3160.0,2.0,0.0,0.0,3.0,8.0,3160.0,0.0,0.0,47.7443,-121.977,3050.0
210490.0,3.0,1.0,990.0,1.0,0.0,0.0,3.0,6.0,990.0,0.0,0.0,47.3066,-122.37100000000001,1228.0
450000.0,3.0,2.0,1250.0,1.0,0.0,0.0,4.0,7.0,1250.0,0.0,0.0,47.6796,-122.301,970.0
228000.0,3.0,1.0,1190.0,1.0,0.0,0.0,3.0,7.0,1190.0,0.0,0.0,47.4258,-122.322,1190.0
600000.0,3.0,2.0,1410.0,1.0,0.0,0.0,4.0,7.0,1000.0,410.0,0.0,47.6808,-122.384,1410.0
585000.0,2.0,2.0,1980.0,1.0,0.0,0.0,3.0,7.0,990.0,990.0,0.0,47.6989,-122.369,1480.0
920000.0,5.0,2.0,2730.0,2.0,0.0,0.0,3.0,8.0,2130.0,600.0,0.0,47.6571,-122.281,2730.0
885000.0,4.0,2.0,2830.0,2.0,0.0,0.0,3.0,9.0,2830.0,0.0,0.0,47.6597,-122.29,1950.0
292500.0,4.0,2.0,2250.0,2.0,0.0,0.0,3.0,7.0,2250.0,0.0,0.0,47.3663,-122.11399999999999,2250.0
301000.0,3.0,2.0,2420.0,2.0,0.0,0.0,3.0,8.0,2420.0,0.0,0.0,47.3663,-122.12200000000001,2690.0
430000.0,4.0,3.0,1850.0,2.0,0.0,0.0,3.0,8.0,1850.0,0.0,0.0,47.5059,-122.149,2270.0
289000.0,3.0,2.0,1260.0,1.0,0.0,0.0,3.0,7.0,1260.0,0.0,0.0,47.4366,-122.335,1290.0
505000.0,3.0,2.0,2519.0,2.0,0.0,0.0,5.0,8.0,2519.0,0.0,0.0,47.4428,-122.344,2500.0
549000.0,3.0,2.0,1540.0,3.0,0.0,0.0,3.0,8.0,1540.0,0.0,0.0,47.6765,-122.32,1580.0
425000.0,3.0,2.0,1660.0,1.0,0.0,0.0,3.0,7.0,1110.0,550.0,0.0,47.6113,-122.29700000000001,1440.0
287000.0,4.0,2.0,2240.0,2.0,0.0,0.0,3.0,7.0,2240.0,0.0,0.0,47.3378,-122.257,2221.0
325000.0,3.0,2.0,1260.0,1.0,0.0,0.0,4.0,7.0,1260.0,0.0,0.0,47.7362,-122.179,1640.0
571000.0,4.0,2.0,2750.0,2.0,0.0,0.0,5.0,7.0,2250.0,500.0,0.0,47.7168,-122.287,1510.0
360000.0,4.0,2.0,2380.0,2.0,0.0,0.0,3.0,8.0,2380.0,0.0,0.0,47.3608,-122.036,2420.0
380000.0,4.0,2.0,1760.0,1.0,0.0,0.0,3.0,7.0,880.0,880.0,0.0,47.6034,-122.125,1680.0
480000.0,3.0,1.0,1040.0,1.0,0.0,0.0,3.0,7.0,1040.0,0.0,0.0,47.5636,-122.39399999999999,890.0
410000.0,3.0,1.0,1410.0,1.0,0.0,0.0,4.0,7.0,910.0,500.0,0.0,47.7073,-122.34,1130.0
390000.0,3.0,2.0,2350.0,2.0,0.0,0.0,3.0,8.0,2350.0,0.0,0.0,47.3512,-122.008,2350.0
360000.0,4.0,2.0,1900.0,2.0,0.0,0.0,3.0,7.0,1900.0,0.0,0.0,47.349,-122.031,1870.0
356000.0,3.0,2.0,1680.0,1.0,0.0,0.0,3.0,8.0,1680.0,0.0,0.0,47.4811,-122.149,1850.0
315000.0,3.0,1.0,960.0,1.0,0.0,0.0,3.0,6.0,960.0,0.0,0.0,47.7264,-122.31,1570.0
940000.0,3.0,2.0,2140.0,2.0,0.0,0.0,3.0,9.0,1900.0,240.0,0.0,47.6337,-122.365,2020.0
305000.0,5.0,2.0,2660.0,2.0,0.0,0.0,5.0,7.0,2660.0,0.0,0.0,47.2909,-122.189,1590.0
